matchId,teamId,opponentTeamId,windowStart,windowEnd,minute,pressure,scoreDiff,round_x,numPasses,numPassers,numReceivers,numEdges,matchDate,stadiumName,homeTeamId,awayTeamId,round_y
3814,381,360,5400,6300,97.5,HIGH,-1,group,43,9,9,31,,,360,381,knockout
3815,51,384,0,900,7.5,LOW,-1,group,101,11,11,51,,,51,384,knockout
3815,384,51,0,900,7.5,LOW,0,group,36,10,11,26,,,51,384,knockout
3815,51,384,900,1800,22.5,LOW,-1,group,109,10,11,49,,,51,384,knockout
3815,384,51,900,1800,22.5,LOW,-1,group,62,11,11,45,,,51,384,knockout
3815,51,384,1800,2700,37.5,MEDIUM,0,group,80,11,11,43,,,51,384,knockout
3815,384,51,1800,2700,37.5,LOW,1,group,48,11,11,36,,,51,384,knockout
3815,51,384,2700,3600,52.5,LOW,1,group,80,11,11,42,,,51,384,knockout
3815,384,51,2700,3600,52.5,LOW,1,group,100,11,11,50,,,51,384,knockout
3815,384,51,3600,4500,67.5,MEDIUM,0,group,37,10,10,29,,,51,384,knockout
3815,51,384,3600,4500,67.5,MEDIUM,0,group,60,13,12,38,,,51,384,knockout
3815,384,51,4500,5400,82.5,HIGH,0,group,36,10,11,26,,,51,384,knockout
3815,51,384,4500,5400,82.5,HIGH,0,group,25,11,12,24,,,51,384,knockout
3815,51,384,5400,6300,97.5,HIGH,0,group,61,10,10,34,,,51,384,knockout
3815,384,51,5400,6300,97.5,HIGH,0,group,13,9,8,12,,,51,384,knockout
3816,382,364,0,900,7.5,LOW,0,group,26,9,10,22,,,364,382,knockout
3816,364,382,0,900,7.5,LOW,0,group,71,11,11,36,,,364,382,knockout
3816,382,364,900,1800,22.5,LOW,0,group,58,11,11,38,,,364,382,knockout
3816,364,382,900,1800,22.5,LOW,0,group,73,11,11,46,,,364,382,knockout
3816,382,364,1800,2700,37.5,MEDIUM,0,group,38,11,11,29,,,364,382,knockout
3816,364,382,1800,2700,37.5,MEDIUM,0,group,61,11,11,41,,,364,382,knockout
3816,364,382,2700,3600,52.5,MEDIUM,0,group,155,12,12,64,,,364,382,knockout
3816,382,364,2700,3600,52.5,MEDIUM,0,group,21,10,11,18,,,364,382,knockout
3816,364,382,3600,4500,67.5,MEDIUM,0,group,83,11,11,43,,,364,382,knockout
3816,382,364,3600,4500,67.5,MEDIUM,0,group,25,11,11,22,,,364,382,knockout
3816,364,382,4500,5400,82.5,HIGH,0,group,60,11,11,41,,,364,382,knockout
3816,382,364,4500,5400,82.5,HIGH,0,group,9,8,6,9,,,364,382,knockout
3816,364,382,5400,6300,97.5,HIGH,0,group,45,10,10,32,,,364,382,knockout
3816,382,364,5400,6300,97.5,HIGH,0,group,10,7,6,10,,,364,382,knockout
3817,367,378,0,900,7.5,LOW,0,group,56,11,11,35,,,367,378,knockout
3817,378,367,0,900,7.5,LOW,0,group,78,11,11,46,,,367,378,knockout
3817,378,367,900,1800,22.5,LOW,0,group,45,9,11,32,,,367,378,knockout
3817,367,378,900,1800,22.5,LOW,0,group,78,11,11,49,,,367,378,knockout
3817,367,378,1800,2700,37.5,MEDIUM,0,group,91,11,11,52,,,367,378,knockout
3817,378,367,1800,2700,37.5,MEDIUM,0,group,35,11,11,29,,,367,378,knockout
3817,367,378,2700,3600,52.5,MEDIUM,0,group,129,11,11,59,,,367,378,knockout
3817,378,367,2700,3600,52.5,MEDIUM,0,group,64,11,11,42,,,367,378,knockout
3817,367,378,3600,4500,67.5,MEDIUM,0,group,77,12,12,44,,,367,378,knockout
3817,378,367,3600,4500,67.5,MEDIUM,-1,group,56,11,12,38,,,367,378,knockout
3817,367,378,4500,5400,82.5,HIGH,1,group,86,11,11,45,,,367,378,knockout
3817,378,367,4500,5400,82.5,HIGH,1,group,28,11,12,25,,,367,378,knockout
3817,378,367,5400,6300,97.5,LOW,2,group,4,4,3,4,,,367,378,knockout
3817,367,378,5400,6300,97.5,LOW,3,group,15,11,9,14,,,367,378,knockout
3818,58,376,0,900,7.5,LOW,3,group,63,10,11,39,,,58,376,knockout
3818,376,58,0,900,7.5,LOW,0,group,36,10,10,21,,,58,376,knockout
3818,376,58,900,1800,22.5,LOW,1,group,51,11,11,32,,,58,376,knockout
3818,58,376,900,1800,22.5,LOW,-1,group,71,11,11,51,,,58,376,knockout
3818,376,58,1800,2700,37.5,MEDIUM,-1,group,47,11,11,33,,,58,376,knockout
3818,58,376,1800,2700,37.5,MEDIUM,-2,group,84,11,11,47,,,58,376,knockout
3818,376,58,2700,3600,52.5,MEDIUM,-3,group,33,12,12,26,,,58,376,knockout
3818,58,376,2700,3600,52.5,MEDIUM,-3,group,71,10,10,38,,,58,376,knockout
3818,376,58,3600,4500,67.5,MEDIUM,0,group,28,10,10,24,,,58,376,knockout
3818,58,376,3600,4500,67.5,MEDIUM,0,group,56,12,12,38,,,58,376,knockout
3818,58,376,4500,5400,82.5,HIGH,0,group,50,11,12,38,,,58,376,knockout
3818,376,58,4500,5400,82.5,HIGH,0,group,47,11,11,35,,,58,376,knockout
3818,58,376,5400,6300,97.5,HIGH,0,group,36,10,10,27,,,58,376,knockout
3818,376,58,5400,6300,97.5,HIGH,0,group,15,8,9,15,,,58,376,knockout
3819,363,386,0,900,7.5,LOW,0,group,66,11,10,37,,,363,386,knockout
3819,386,363,0,900,7.5,LOW,0,group,69,11,11,33,,,363,386,knockout
3819,386,363,900,1800,22.5,LOW,0,group,42,11,11,31,,,363,386,knockout
3819,363,386,900,1800,22.5,LOW,0,group,87,10,11,47,,,363,386,knockout
3819,363,386,1800,2700,37.5,MEDIUM,0,group,134,11,11,64,,,363,386,knockout
3819,386,363,1800,2700,37.5,MEDIUM,0,group,57,11,11,40,,,363,386,knockout
3819,386,363,2700,3600,52.5,MEDIUM,0,group,80,11,11,51,,,363,386,knockout
3819,363,386,2700,3600,52.5,MEDIUM,0,group,145,11,11,58,,,363,386,knockout
3819,363,386,3600,4500,67.5,MEDIUM,0,group,77,11,11,44,,,363,386,knockout
3819,386,363,3600,4500,67.5,MEDIUM,0,group,33,10,10,28,,,363,386,knockout
3819,363,386,4500,5400,82.5,HIGH,-1,group,94,11,11,51,,,363,386,knockout
3819,386,363,4500,5400,82.5,HIGH,-1,group,72,13,13,44,,,363,386,knockout
3819,363,386,5400,6300,97.5,HIGH,-1,group,55,10,10,38,,,363,386,knockout
3819,386,363,5400,6300,97.5,HIGH,0,group,32,10,9,23,,,363,386,knockout
3820,374,371,0,900,7.5,LOW,1,group,65,10,10,38,,,374,371,knockout
3820,371,374,0,900,7.5,LOW,0,group,104,10,10,46,,,374,371,knockout
3820,371,374,900,1800,22.5,LOW,0,group,85,11,11,50,,,374,371,knockout
3820,374,371,900,1800,22.5,LOW,1,group,63,11,11,41,,,374,371,knockout
3820,371,374,1800,2700,37.5,LOW,1,group,80,11,11,44,,,374,371,knockout
3820,374,371,1800,2700,37.5,LOW,1,group,60,10,11,36,,,374,371,knockout
3820,371,374,2700,3600,52.5,MEDIUM,0,group,91,12,12,58,,,374,371,knockout
3820,374,371,2700,3600,52.5,MEDIUM,-1,group,22,9,9,18,,,374,371,knockout
3820,374,371,3600,4500,67.5,MEDIUM,0,group,30,11,12,28,,,374,371,knockout
3820,371,374,3600,4500,67.5,LOW,2,group,114,11,12,54,,,374,371,knockout
3820,371,374,4500,5400,82.5,LOW,3,group,74,9,11,43,,,374,371,knockout
3820,374,371,4500,5400,82.5,LOW,3,group,43,9,12,32,,,374,371,knockout
3820,371,374,5400,6300,97.5,LOW,4,group,30,10,10,26,,,374,371,knockout
3820,374,371,5400,6300,97.5,LOW,5,group,16,8,7,14,,,374,371,knockout
3821,368,57,0,900,7.5,LOW,7,group,153,11,11,61,,,368,57,knockout
3821,57,368,0,900,7.5,LOW,0,group,15,7,7,13,,,368,57,knockout
3821,368,57,900,1800,22.5,LOW,-2,group,127,11,11,53,,,368,57,knockout
3821,57,368,900,1800,22.5,LOW,-3,group,18,9,8,13,,,368,57,knockout
3821,368,57,1800,2700,37.5,MEDIUM,-3,group,120,11,11,58,,,368,57,knockout
3821,57,368,1800,2700,37.5,MEDIUM,-4,group,25,9,10,20,,,368,57,knockout
3821,57,368,2700,3600,52.5,MEDIUM,-5,group,65,12,13,45,,,368,57,knockout
3821,368,57,2700,3600,52.5,MEDIUM,-7,group,129,11,11,63,,,368,57,knockout
3821,57,368,3600,4500,67.5,MEDIUM,0,group,70,10,12,46,,,368,57,knockout
3821,368,57,3600,4500,67.5,MEDIUM,0,group,65,13,13,49,,,368,57,knockout
3821,368,57,4500,5400,82.5,HIGH,0,group,73,12,12,39,,,368,57,knockout
3821,57,368,4500,5400,82.5,HIGH,1,group,15,10,9,14,,,368,57,knockout
3821,368,57,5400,6300,97.5,HIGH,1,group,45,10,10,24,,,368,57,knockout
3821,57,368,5400,6300,97.5,HIGH,1,group,4,4,4,4,,,368,57,knockout
3822,52,385,0,900,7.5,LOW,1,group,167,11,11,62,,,52,385,knockout
3822,385,52,0,900,7.5,LOW,0,group,14,7,8,11,,,52,385,knockout
3822,52,385,900,1800,22.5,LOW,0,group,156,11,11,55,,,52,385,knockout
3822,385,52,900,1800,22.5,LOW,0,group,18,8,9,18,,,52,385,knockout
3822,385,52,1800,2700,37.5,MEDIUM,-1,group,41,11,11,35,,,52,385,knockout
3822,52,385,1800,2700,37.5,MEDIUM,-1,group,170,11,11,56,,,52,385,knockout
3822,52,385,2700,3600,52.5,MEDIUM,-1,group,202,12,13,70,,,52,385,knockout
3822,385,52,2700,3600,52.5,MEDIUM,-1,group,20,9,9,15,,,52,385,knockout
3822,52,385,3600,4500,67.5,MEDIUM,0,group,113,14,15,62,,,52,385,knockout
3822,385,52,3600,4500,67.5,MEDIUM,0,group,29,11,9,24,,,52,385,knockout
3822,385,52,4500,5400,82.5,HIGH,0,group,37,10,11,31,,,52,385,knockout
3822,52,385,4500,5400,82.5,HIGH,1,group,125,11,11,55,,,52,385,knockout
3822,385,52,5400,6300,97.5,HIGH,1,group,17,10,8,17,,,52,385,knockout
3822,52,385,5400,6300,97.5,HIGH,1,group,79,11,10,45,,,52,385,knockout
3823,380,362,0,900,7.5,LOW,1,group,55,11,11,39,,,362,380,knockout
3823,362,380,0,900,7.5,LOW,0,group,50,11,10,35,,,362,380,knockout
3823,380,362,900,1800,22.5,LOW,0,group,48,11,11,33,,,362,380,knockout
3823,362,380,900,1800,22.5,LOW,0,group,99,11,11,43,,,362,380,knockout
3823,380,362,1800,2700,37.5,MEDIUM,-1,group,53,11,11,40,,,362,380,knockout
3823,362,380,1800,2700,37.5,MEDIUM,-1,group,90,11,11,45,,,362,380,knockout
3823,362,380,2700,3600,52.5,MEDIUM,-1,group,91,13,12,51,,,362,380,knockout
3823,380,362,2700,3600,52.5,MEDIUM,-1,group,68,11,12,42,,,362,380,knockout
3823,362,380,3600,4500,67.5,MEDIUM,0,group,69,12,12,51,,,362,380,knockout
3823,380,362,3600,4500,67.5,MEDIUM,0,group,75,12,12,53,,,362,380,knockout
3823,362,380,4500,5400,82.5,HIGH,0,group,30,11,10,23,,,362,380,knockout
3823,380,362,4500,5400,82.5,HIGH,0,group,79,13,13,47,,,362,380,knockout
3823,362,380,5400,6300,97.5,HIGH,0,group,26,11,10,22,,,362,380,knockout
3823,380,362,5400,6300,97.5,HIGH,0,group,14,8,8,10,,,362,380,knockout
3824,370,379,0,900,7.5,LOW,0,group,98,11,11,53,,,370,379,knockout
3824,379,370,0,900,7.5,LOW,0,group,58,11,11,40,,,370,379,knockout
3824,370,379,900,1800,22.5,LOW,0,group,88,11,11,54,,,370,379,knockout
3824,379,370,900,1800,22.5,LOW,0,group,69,10,11,47,,,370,379,knockout
3824,379,370,1800,2700,37.5,MEDIUM,0,group,106,11,11,56,,,370,379,knockout
3824,370,379,1800,2700,37.5,MEDIUM,0,group,60,11,11,45,,,370,379,knockout
3824,370,379,2700,3600,52.5,MEDIUM,0,group,84,11,11,50,,,370,379,knockout
3824,379,370,2700,3600,52.5,MEDIUM,0,group,52,11,11,36,,,370,379,knockout
3824,379,370,3600,4500,67.5,MEDIUM,0,group,60,12,12,37,,,370,379,knockout
3824,370,379,3600,4500,67.5,MEDIUM,0,group,26,11,9,24,,,370,379,knockout
3824,379,370,4500,5400,82.5,HIGH,0,group,74,12,12,49,,,370,379,knockout
3824,370,379,4500,5400,82.5,HIGH,0,group,42,12,12,34,,,370,379,knockout
3824,370,379,5400,6300,97.5,HIGH,1,group,52,11,11,41,,,370,379,knockout
3824,379,370,5400,6300,97.5,LOW,2,group,12,8,8,10,,,370,379,knockout
3825,377,369,0,900,7.5,LOW,1,group,65,10,11,42,,,369,377,knockout
3825,369,377,0,900,7.5,LOW,0,group,46,11,11,33,,,369,377,knockout
3825,377,369,900,1800,22.5,LOW,0,group,55,10,11,40,,,369,377,knockout
3825,369,377,900,1800,22.5,LOW,0,group,78,10,10,41,,,369,377,knockout
3825,377,369,1800,2700,37.5,MEDIUM,0,group,84,9,11,46,,,369,377,knockout
3825,369,377,1800,2700,37.5,MEDIUM,-1,group,69,10,10,36,,,369,377,knockout
3825,369,377,2700,3600,52.5,MEDIUM,-2,group,70,11,11,43,,,369,377,knockout
3825,377,369,2700,3600,52.5,MEDIUM,-1,group,47,11,11,35,,,369,377,knockout
3825,369,377,3600,4500,67.5,MEDIUM,0,group,87,10,10,43,,,369,377,knockout
3825,377,369,3600,4500,67.5,MEDIUM,0,group,45,13,11,39,,,369,377,knockout
3825,369,377,4500,5400,82.5,HIGH,0,group,82,12,13,47,,,369,377,knockout
3825,377,369,4500,5400,82.5,HIGH,0,group,36,11,10,27,,,369,377,knockout
3825,369,377,5400,6300,97.5,HIGH,1,group,41,11,10,34,,,369,377,knockout
3825,377,369,5400,6300,97.5,LOW,2,group,26,8,10,22,,,369,377,knockout
3826,365,383,0,900,7.5,LOW,2,group,130,11,12,63,,,365,383,knockout
3826,383,365,0,900,7.5,LOW,0,group,49,11,11,36,,,365,383,knockout
3826,383,365,900,1800,22.5,LOW,0,group,47,11,11,36,,,365,383,knockout
3826,365,383,900,1800,22.5,LOW,0,group,127,11,11,60,,,365,383,knockout
3826,383,365,1800,2700,37.5,MEDIUM,0,group,42,10,10,29,,,365,383,knockout
3826,365,383,1800,2700,37.5,MEDIUM,-1,group,87,11,11,53,,,365,383,knockout
3826,365,383,2700,3600,52.5,MEDIUM,-2,group,77,12,12,47,,,365,383,knockout
3826,383,365,2700,3600,52.5,MEDIUM,-2,group,45,10,10,32,,,365,383,knockout
3826,383,365,3600,4500,67.5,MEDIUM,0,group,53,11,11,39,,,365,383,knockout
3826,365,383,3600,4500,67.5,MEDIUM,0,group,69,11,11,50,,,365,383,knockout
3826,365,383,4500,5400,82.5,HIGH,0,group,47,12,12,32,,,365,383,knockout
3826,383,365,4500,5400,82.5,HIGH,0,group,66,11,10,42,,,365,383,knockout
3826,383,365,5400,6300,97.5,HIGH,0,group,25,10,9,21,,,365,383,knockout
3826,365,383,5400,6300,97.5,HIGH,0,group,34,9,7,21,,,365,383,knockout
3827,361,375,0,900,7.5,LOW,0,group,81,11,11,49,,,361,375,knockout
3827,375,361,0,900,7.5,LOW,0,group,57,11,11,40,,,361,375,knockout
3827,375,361,900,1800,22.5,LOW,0,group,70,11,11,48,,,361,375,knockout
3827,361,375,900,1800,22.5,LOW,0,group,105,11,11,47,,,361,375,knockout
3827,361,375,1800,2700,37.5,MEDIUM,0,group,93,11,11,46,,,361,375,knockout
3827,375,361,1800,2700,37.5,MEDIUM,0,group,65,10,11,42,,,361,375,knockout
3827,375,361,2700,3600,52.5,MEDIUM,0,group,36,11,12,27,,,361,375,knockout
3827,361,375,2700,3600,52.5,MEDIUM,0,group,78,11,10,45,,,361,375,knockout
3827,361,375,3600,4500,67.5,MEDIUM,0,group,43,11,10,31,,,361,375,knockout
3827,375,361,3600,4500,67.5,MEDIUM,0,group,44,13,13,34,,,361,375,knockout
3827,375,361,4500,5400,82.5,HIGH,0,group,35,11,11,29,,,361,375,knockout
3827,361,375,4500,5400,82.5,HIGH,-2,group,113,13,13,59,,,361,375,knockout
3827,375,361,5400,6300,97.5,HIGH,-2,group,40,10,10,29,,,361,375,knockout
3827,361,375,5400,6300,97.5,HIGH,-1,group,24,10,11,22,,,361,375,knockout
3828,384,373,0,900,7.5,LOW,-2,group,83,11,11,43,,,384,373,knockout
3828,373,384,0,900,7.5,LOW,0,group,46,11,11,35,,,384,373,knockout
3828,384,373,900,1800,22.5,LOW,0,group,77,11,11,49,,,384,373,knockout
3828,373,384,900,1800,22.5,LOW,0,group,18,9,8,15,,,384,373,knockout
3828,384,373,1800,2700,37.5,LOW,2,group,77,10,11,45,,,384,373,knockout
3828,373,384,1800,2700,37.5,LOW,2,group,30,9,11,24,,,384,373,knockout
3828,384,373,2700,3600,52.5,LOW,1,group,74,12,12,50,,,384,373,knockout
3828,373,384,2700,3600,52.5,LOW,2,group,49,11,11,33,,,384,373,knockout
3828,384,373,3600,4500,67.5,MEDIUM,1,group,59,11,11,41,,,384,373,knockout
3828,373,384,3600,4500,67.5,MEDIUM,1,group,29,10,9,22,,,384,373,knockout
3828,384,373,4500,5400,82.5,HIGH,1,group,50,12,12,34,,,384,373,knockout
3828,373,384,4500,5400,82.5,HIGH,0,group,22,10,7,20,,,384,373,knockout
3828,373,384,5400,6300,97.5,HIGH,0,group,32,11,8,24,,,384,373,knockout
3828,384,373,5400,6300,97.5,HIGH,0,group,12,8,6,11,,,384,373,knockout
3829,360,372,0,900,7.5,LOW,0,group,48,10,11,33,,,360,372,knockout
3829,372,360,0,900,7.5,LOW,-1,group,102,10,11,45,,,360,372,knockout
3829,372,360,900,1800,22.5,LOW,-1,group,65,9,10,35,,,360,372,knockout
3829,360,372,900,1800,22.5,LOW,-1,group,37,10,11,26,,,360,372,knockout
3829,360,372,1800,2700,37.5,MEDIUM,0,group,41,11,11,30,,,360,372,knockout
3829,372,360,1800,2700,37.5,MEDIUM,0,group,53,11,11,33,,,360,372,knockout
3829,372,360,2700,3600,52.5,MEDIUM,0,group,106,11,11,58,,,360,372,knockout
3829,360,372,2700,3600,52.5,MEDIUM,0,group,91,11,11,64,,,360,372,knockout
3829,360,372,3600,4500,67.5,MEDIUM,0,group,62,12,11,47,,,360,372,knockout
3829,372,360,3600,4500,67.5,MEDIUM,0,group,47,13,13,34,,,360,372,knockout
3829,360,372,4500,5400,82.5,HIGH,0,group,62,12,12,41,,,360,372,knockout
3829,372,360,4500,5400,82.5,HIGH,0,group,43,11,11,31,,,360,372,knockout
3829,372,360,5400,6300,97.5,HIGH,0,group,40,10,10,29,,,360,372,knockout
3829,360,372,5400,6300,97.5,HIGH,0,group,15,10,9,14,,,360,372,knockout
3830,381,366,0,900,7.5,LOW,0,group,85,11,11,53,,,366,381,knockout
3830,366,381,0,900,7.5,LOW,0,group,66,11,11,42,,,366,381,knockout
3830,366,381,900,1800,22.5,LOW,0,group,70,11,11,39,,,366,381,knockout
3830,381,366,900,1800,22.5,LOW,0,group,68,11,11,40,,,366,381,knockout
3830,381,366,1800,2700,37.5,MEDIUM,0,group,71,11,11,42,,,366,381,knockout
3830,366,381,1800,2700,37.5,MEDIUM,0,group,79,11,11,43,,,366,381,knockout
3830,381,366,2700,3600,52.5,MEDIUM,0,group,30,9,11,22,,,366,381,knockout
3830,366,381,2700,3600,52.5,MEDIUM,0,group,66,9,12,41,,,366,381,knockout
3830,366,381,3600,4500,67.5,MEDIUM,0,group,86,12,12,55,,,366,381,knockout
3830,381,366,3600,4500,67.5,MEDIUM,-1,group,27,10,8,22,,,366,381,knockout
3830,366,381,4500,5400,82.5,HIGH,-1,group,58,10,11,35,,,366,381,knockout
3830,381,366,4500,5400,82.5,HIGH,-1,group,58,11,11,39,,,366,381,knockout
3830,366,381,5400,6300,97.5,HIGH,-1,group,23,7,9,19,,,366,381,knockout
3830,381,366,5400,6300,97.5,HIGH,-1,group,14,7,8,13,,,366,381,knockout
3831,50,51,0,900,7.5,LOW,0,group,106,11,11,46,,,50,51,knockout
3831,51,50,0,900,7.5,LOW,0,group,49,11,11,35,,,50,51,knockout
3831,51,50,900,1800,22.5,LOW,1,group,69,10,10,42,,,50,51,knockout
3831,50,51,900,1800,22.5,LOW,1,group,100,11,11,54,,,50,51,knockout
3831,51,50,1800,2700,37.5,LOW,1,group,44,11,10,32,,,50,51,knockout
3831,50,51,1800,2700,37.5,LOW,1,group,66,11,11,45,,,50,51,knockout
3831,50,51,2700,3600,52.5,LOW,1,group,80,11,11,49,,,50,51,knockout
3831,51,50,2700,3600,52.5,MEDIUM,0,group,69,11,11,36,,,50,51,knockout
3831,51,50,3600,4500,67.5,MEDIUM,0,group,62,11,11,42,,,50,51,knockout
3831,50,51,3600,4500,67.5,MEDIUM,0,group,73,13,13,46,,,50,51,knockout
